46,https://oficinajudicialvirtual.pjud.cl/ADIR_871/apelaciones/documentos/docCausaApelaciones.php?valorDoc=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJodHRwczpcL1wvb2ZpY2luYWp1ZGljaWFsdmlydHVhbC5wanVkLmNsIiwiYXVkIjoiaHR0cHM6XC9cL29maWNpbmFqdWRpY2lhbHZpcnR1YWwucGp1ZC5jbCIsImlhdCI6MTY1MDk3MTUxMywiZXhwIjoxNjUwOTc1MTEzLCJkYXRhIjp7ImNycl9kb2MiOiIzNDc2MzQ2MSIsImNvZF9jb3J0ZSI6IjI1IiwiY3JySWREb2NFc2MiOiIzODY1NzIwOCIsImNvZF90aXBhcmNoaXZvIjoiMyIsInRyYW1pdGUiOjB9fQ.vGzGYcDqc2zZwN6qVOZwIT5GoIgc4kww3tP0vUtfkXs,Resolución,Téngase Presente,17/11/2021,Presidencia,Bloqueado
45,https://oficinajudicialvirtual.pjud.cl/ADIR_871/apelaciones/documentos/docCausaApelaciones.php?valorDoc=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJodHRwczpcL1wvb2ZpY2luYWp1ZGljaWFsdmlydHVhbC5wanVkLmNsIiwiYXVkIjoiaHR0cHM6XC9cL29maWNpbmFqdWRpY2lhbHZpcnR1YWwucGp1ZC5jbCIsImlhdCI6MTY1MDk3MTUxMywiZXhwIjoxNjUwOTc1MTEzLCJkYXRhIjp7ImNycl9kb2MiOiIxMTM1NTU4NCIsImNvZF9jb3J0ZSI6IjI1IiwiY3JySWREb2NFc2MiOiIxNTIyNTc3NSIsImNvZF90aXBhcmNoaXZvIjoiMyIsInRyYW1pdGUiOjF9fQ.Py29wIEQLzyoLU6CoDSCG0ssSzkUKIazRJf50hALkxM,Escrito,Tengase presente,12/11/2021,...,Resuelto
44,https://oficinajudicialvirtual.pjud.cl/ADIR_871/apelaciones/documentos/docCausaApelaciones.php?valorDoc=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJodHRwczpcL1wvb2ZpY2luYWp1ZGljaWFsdmlydHVhbC5wanVkLmNsIiwiYXVkIjoiaHR0cHM6XC9cL29maWNpbmFqdWRpY2lhbHZpcnR1YWwucGp1ZC5jbCIsImlhdCI6MTY1MDk3MTUxMywiZXhwIjoxNjUwOTc1MTEzLCJkYXRhIjp7ImNycl9kb2MiOiIzNDUwNzY3OSIsImNvZF9jb3J0ZSI6IjI1IiwiY3JySWREb2NFc2MiOiIzODM2NTU1OCIsImNvZF90aXBhcmNoaXZvIjoiMyIsInRyYW1pdGUiOjB9fQ.F2cvYK7we_kwV-t4rRCCnTGbFKEnkynUBQNY2ZqZvAs,Resolución,Revalidacion vale vista,20/10/2021,Primera Sala,Bloqueado
43,https://oficinajudicialvirtual.pjud.cl/ADIR_871/apelaciones/documentos/docCausaApelaciones.php?valorDoc=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJodHRwczpcL1wvb2ZpY2luYWp1ZGljaWFsdmlydHVhbC5wanVkLmNsIiwiYXVkIjoiaHR0cHM6XC9cL29maWNpbmFqdWRpY2lhbHZpcnR1YWwucGp1ZC5jbCIsImlhdCI6MTY1MDk3MTUxMywiZXhwIjoxNjUwOTc1MTEzLCJkYXRhIjp7ImNycl9kb2MiOiIxMTI0MTU2MyIsImNvZF9jb3J0ZSI6IjI1IiwiY3JySWREb2NFc2MiOiIxNTExMjY1OCIsImNvZF90aXBhcmNoaXZvIjoiMyIsInRyYW1pdGUiOjF9fQ.gqsjuf2CyOQoX7x4zUh1s6ghWyzlWPOhmJ28RsI-7n0,Escrito,Peticion que indica,18/10/2021,...,Resuelto
42,https://oficinajudicialvirtual.pjud.cl/ADIR_871/apelaciones/documentos/docCausaApelaciones.php?valorDoc=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJodHRwczpcL1wvb2ZpY2luYWp1ZGljaWFsdmlydHVhbC5wanVkLmNsIiwiYXVkIjoiaHR0cHM6XC9cL29maWNpbmFqdWRpY2lhbHZpcnR1YWwucGp1ZC5jbCIsImlhdCI6MTY1MDk3MTUxMywiZXhwIjoxNjUwOTc1MTEzLCJkYXRhIjp7ImNycl9kb2MiOiIzMzM4MjI1MCIsImNvZF9jb3J0ZSI6IjI1IiwiY3JySWREb2NFc2MiOiIzNzA5NzYwMSIsImNvZF90aXBhcmNoaXZvIjoiMyIsInRyYW1pdGUiOjB9fQ.oK5ChJ_sgqYHLdpKOgqGVL-xcgUz1q9TOl5lbYhWbGc,Resolución,Acompaña Documentos,29/06/2021,Presidencia,Bloqueado
41,https://oficinajudicialvirtual.pjud.cl/ADIR_871/apelaciones/documentos/docCausaApelaciones.php?valorDoc=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJodHRwczpcL1wvb2ZpY2luYWp1ZGljaWFsdmlydHVhbC5wanVkLmNsIiwiYXVkIjoiaHR0cHM6XC9cL29maWNpbmFqdWRpY2lhbHZpcnR1YWwucGp1ZC5jbCIsImlhdCI6MTY1MDk3MTUxMywiZXhwIjoxNjUwOTc1MTEzLCJkYXRhIjp7ImNycl9kb2MiOiIxMDc5MDUzMSIsImNvZF9jb3J0ZSI6IjI1IiwiY3JySWREb2NFc2MiOiIxNDY2NjQ2MCIsImNvZF90aXBhcmNoaXZvIjoiMyIsInRyYW1pdGUiOjF9fQ.nsX-kijqmmqZy3WSzNHSIu5wojwkXMGD327C18oYbsY,Escrito,Acompaña documentos,24/06/2021,...,Resuelto
40,https://oficinajudicialvirtual.pjud.cl/ADIR_871/apelaciones/documentos/docCausaApelaciones.php?valorDoc=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJodHRwczpcL1wvb2ZpY2luYWp1ZGljaWFsdmlydHVhbC5wanVkLmNsIiwiYXVkIjoiaHR0cHM6XC9cL29maWNpbmFqdWRpY2lhbHZpcnR1YWwucGp1ZC5jbCIsImlhdCI6MTY1MDk3MTUxMywiZXhwIjoxNjUwOTc1MTEzLCJkYXRhIjp7ImNycl9kb2MiOiIzMzM2MDE0MyIsImNvZF9jb3J0ZSI6IjI1IiwiY3JySWREb2NFc2MiOiIzNzA3NDYxMSIsImNvZF90aXBhcmNoaXZvIjoiMyIsInRyYW1pdGUiOjB9fQ.YcZjJFR1v8aXGGcQ-jSjtQV2kbHfwoQg73_lYbdjpuI,Resolución,Tgse.Pte.pago costas,24/06/2021,Presidencia,Bloqueado
39,https://oficinajudicialvirtual.pjud.cl/ADIR_871/apelaciones/documentos/docCausaApelaciones.php?valorDoc=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJodHRwczpcL1wvb2ZpY2luYWp1ZGljaWFsdmlydHVhbC5wanVkLmNsIiwiYXVkIjoiaHR0cHM6XC9cL29maWNpbmFqdWRpY2lhbHZpcnR1YWwucGp1ZC5jbCIsImlhdCI6MTY1MDk3MTUxMywiZXhwIjoxNjUwOTc1MTEzLCJkYXRhIjp7ImNycl9kb2MiOiIxMDc3NjkwMiIsImNvZF9jb3J0ZSI6IjI1IiwiY3JySWREb2NFc2MiOiIxNDY1Mjg4MSIsImNvZF90aXBhcmNoaXZvIjoiMyIsInRyYW1pdGUiOjF9fQ.7I4RG58oUR_cDaZiCbiPMXka4C97Ip6un2atJtDJ-Go,Escrito,En cumplimiento de lo ordenado,22/06/2021,...,Resuelto
38,https://oficinajudicialvirtual.pjud.cl/ADIR_871/apelaciones/documentos/docCausaApelaciones.php?valorDoc=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJodHRwczpcL1wvb2ZpY2luYWp1ZGljaWFsdmlydHVhbC5wanVkLmNsIiwiYXVkIjoiaHR0cHM6XC9cL29maWNpbmFqdWRpY2lhbHZpcnR1YWwucGp1ZC5jbCIsImlhdCI6MTY1MDk3MTUxMywiZXhwIjoxNjUwOTc1MTEzLCJkYXRhIjp7ImNycl9kb2MiOiIxMDczMjc5NyIsImNvZF9jb3J0ZSI6IjI1IiwiY3JySWREb2NFc2MiOiIxNDYwOTEyOCIsImNvZF90aXBhcmNoaXZvIjoiMyIsInRyYW1pdGUiOjF9fQ.qHiDCPmQg2QCG4M-XXJIqkFb8nWoN1BQMC3WMAGHHxc,Escrito,Tengase presente,14/06/2021,...,Resuelto
37,https://oficinajudicialvirtual.pjud.cl/ADIR_871/apelaciones/documentos/docCausaApelaciones.php?valorDoc=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJodHRwczpcL1wvb2ZpY2luYWp1ZGljaWFsdmlydHVhbC5wanVkLmNsIiwiYXVkIjoiaHR0cHM6XC9cL29maWNpbmFqdWRpY2lhbHZpcnR1YWwucGp1ZC5jbCIsImlhdCI6MTY1MDk3MTUxMywiZXhwIjoxNjUwOTc1MTEzLCJkYXRhIjp7ImNycl9kb2MiOiIzMzE0NDQ0MiIsImNvZF9jb3J0ZSI6IjI1IiwiY3JySWREb2NFc2MiOiIzNjgzNzcyOCIsImNvZF90aXBhcmNoaXZvIjoiMyIsInRyYW1pdGUiOjB9fQ.MqbDfVfb_MvXJy0m1SVcyhhj5dERjYPdPKE-GHBTe-4,Actuación,COMUNICA APER. INF. Y OTROS,04/06/2021,Primera Sala,Bloqueado
